"","landCoverCode","sqKmLost","year","landCoverName","landCoverNameSp","landCoverCategory","sqKmBurned","sqKmLossNonFire"
"1","1",5.95584729436709,2001,"Dense conifer forest","Bosque conifero denso","Forest",2.45741991265487,3.49842738171222
"2","2",2.33707870281953,2001,"Open conifer forest","Bosque conifero abierto","Forest",1.06006368578336,1.27701501703617
"3","4",1.96661055653844,2001,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",0.633099413519646,1.33351114301879
"4","6",8.08404222649041,2001,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",0.0593482022705078,8.0246940242199
"5","8",7.26802317639615,2001,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.0321822660522461,7.2358409103439
"6","9",10.0873074468153,2001,"Dry forest","Bosque seco","Forest",0.0236571199951172,10.0636503268202
"7","12",0.0837001858856201,2001,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.0837001858856201
"8","13",0.0284286383361816,2001,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0,0.0284286383361816
"9","14",0.0360175674743652,2001,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0360175674743652
"10","16",7.4393451053984,2001,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.107286105311016,7.33205900008738
"11","20",3.38867136356117,2001,"Dry matorral","Matorral seco","Shrubland",0,3.38867136356117
"12","21",0.00271544949279785,2001,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0,0.00271544949279785
"13","24",0,2001,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0
"14","26",0.00319862657775879,2001,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.00319862657775879
"15","27",0.28025733445772,2001,"Sabana de pajon","Sabana de pajon","Grassland",0.284273751457663,-0.00401641699994304
"16","33",0.00491002830993652,2001,"Cattail marsh","Eneal","Wetland",0,0.00491002830993652
"17","35",0.347379425075073,2001,"Unvegetated or eroded areas","Escasa vegetación o area erosionada","Unvegetated",0.0143971698608398,0.332982255214233
"18","37",4.1575834955836,2001,"Cultivated land","Cultivos intensivos","Cultivated",0.0533526615600586,4.10423083402354
"19","38",3.88632914345388,2001,"Sugar cane","Caña","Cultivated",0.00169777691650391,3.88463136653738
"20","39",3.58950762560187,2001,"Rice","Arroz","Cultivated",0,3.58950762560187
"21","40",4.00114063018822,2001,"Pasture","Pasto","Cultivated",0.005938884765625,3.99520174542259
"22","51",1.24178459529785,2001,"African palm","Palma Africana","Cultivated",0,1.24178459529785
"23","52",0.627198421806641,2001,"Coco Palm","Palma de Coco","Cultivated",0,0.627198421806641
"24","53",7.38357714631859,2001,"Coffee and Cacao","Café y Cacao","Cultivated",0.0364670521850586,7.34711009413353
"25","59",23.8736224421187,2001,"Subsistence agriculture or pasture","Agricultura de Subsistencia y Pasto","Cultivated",0.443734208679199,23.4298882334395
"26","65",0.0127890039300537,2001,"Lake","Lagunos o lagos","Unvegetated",0,0.0127890039300537
"27","72",0.0772397402197266,2001,"Populated areas","Areas pobladas","Unvegetated",0,0.0772397402197266
"28","1",2.87949405164539,2002,"Dense conifer forest","Bosque conifero denso","Forest",0.0245305733642578,2.85496347828113
"29","2",1.32879350345535,2002,"Open conifer forest","Bosque conifero abierto","Forest",0.0693623672485351,1.25943113620681
"30","4",1.18289977083326,2002,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",0.113338380371094,1.06956139046217
"31","6",7.13605402579818,2002,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",0.00764627862548828,7.12840774717269
"32","8",6.82690259011268,2002,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.00935977862548828,6.81754281148719
"33","9",11.4360504901969,2002,"Dry forest","Bosque seco","Forest",0.44810099810791,10.987949492089
"34","12",0.01304397515625,2002,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.01304397515625
"35","13",0.0724993170593262,2002,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0,0.0724993170593262
"36","14",0.0341044781152344,2002,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0341044781152344
"37","16",8.4311301644836,2002,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.000849020080566406,8.43028114440303
"38","20",4.60887068062273,2002,"Dry matorral","Matorral seco","Shrubland",0.068153247253418,4.54071743336931
"39","21",0.0318367554602051,2002,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0,0.0318367554602051
"40","24",0.00102393043823242,2002,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0.00102393043823242
"41","26",0.0131187396966553,2002,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.0131187396966553
"42","27",0.0356478637426758,2002,"Sabana de pajon","Sabana de pajon","Grassland",0,0.0356478637426758
"43","33",0.0168666092315674,2002,"Cattail marsh","Eneal","Wetland",0,0.0168666092315674
"44","35",0.489606198950629,2002,"Unvegetated or eroded areas","Escasa vegetación o area erosionada","Unvegetated",0.00511159283447266,0.484494606116156
"45","37",5.23317613575863,2002,"Cultivated land","Cultivos intensivos","Cultivated",0.000851850769042969,5.23232428498959
"46","38",2.84545777754333,2002,"Sugar cane","Caña","Cultivated",0.00168560925292969,2.8437721682904
"47","39",1.99258472179512,2002,"Rice","Arroz","Cultivated",0,1.99258472179512
"48","40",3.86339534713358,2002,"Pasture","Pasto","Cultivated",0,3.86339534713358
"49","51",0.876516600094602,2002,"African palm","Palma Africana","Cultivated",0,0.876516600094602
"50","52",0.697936486039378,2002,"Coco Palm","Palma de Coco","Cultivated",0,0.697936486039378
"51","53",7.31313397186898,2002,"Coffee and Cacao","Café y Cacao","Cultivated",0,7.31313397186898
"52","59",20.874360945937,2002,"Subsistence agriculture or pasture","Agricultura de Subsistencia y Pasto","Cultivated",0.103525438781738,20.7708355071553
"53","65",0.0457767211816406,2002,"Lake","Lagunos o lagos","Unvegetated",0,0.0457767211816406
"54","72",0.116456336747436,2002,"Populated areas","Areas pobladas","Unvegetated",0,0.116456336747436
"55","1",3.96760606060216,2003,"Dense conifer forest","Bosque conifero denso","Forest",0.149275756408691,3.81833030419347
"56","2",1.92030145103933,2003,"Open conifer forest","Bosque conifero abierto","Forest",0.564324638298723,1.35597681274061
"57","4",1.85975146422869,2003,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",0.178788777996467,1.68096268623222
"58","6",7.96549789273971,2003,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",0.152298702270508,7.8131991904692
"59","8",5.96717085057873,2003,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.0406678218383789,5.92650302874035
"60","9",6.5639193316839,2003,"Dry forest","Bosque seco","Forest",0.00169494079589844,6.562224390888
"61","12",0.147755986170044,2003,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.147755986170044
"62","13",0.0255664066821289,2003,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0,0.0255664066821289
"63","14",0.0351802737030029,2003,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0351802737030029
"64","16",11.2624006299219,2003,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.305494765991211,10.9569058639307
"65","20",3.15161301117184,2003,"Dry matorral","Matorral seco","Shrubland",0.0008474716796875,3.15076553949215
"66","21",0.0153832343908691,2003,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0,0.0153832343908691
"67","24",0,2003,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0
"68","26",0.0173639184490967,2003,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.0173639184490967
"69","27",0.037788581696167,2003,"Sabana de pajon","Sabana de pajon","Grassland",0.00509851452636719,0.0326900671697998
