"","landCoverCode","sqKmBurned","year"
"1","1",2.45741991265487,2001
"2","2",1.06006368578336,2001
"3","4",0.633099413519646,2001
"4","6",0.0593482022705078,2001
"5","8",0.0321822660522461,2001
"6","9",0.0236571199951172,2001
"7","12",0,2001
"8","13",0,2001
"9","14",0,2001
"10","16",0.107286105311016,2001
"11","20",0,2001
"12","21",0,2001
"13","24",0,2001
"14","26",0,2001
"15","27",0.284273751457663,2001
"16","33",0,2001
"17","35",0.0143971698608398,2001
"18","37",0.0533526615600586,2001
"19","38",0.00169777691650391,2001
"20","39",0,2001
"21","40",0.005938884765625,2001
"22","51",0,2001
"23","52",0,2001
"24","53",0.0364670521850586,2001
"25","59",0.443734208679199,2001
"26","65",0,2001
"27","72",0,2001
"28","1",0.0245305733642578,2002
"29","2",0.0693623672485351,2002
"30","4",0.113338380371094,2002
"31","6",0.00764627862548828,2002
"32","8",0.00935977862548828,2002
"33","9",0.44810099810791,2002
"34","12",0,2002
"35","13",0,2002
"36","14",0,2002
"37","16",0.000849020080566406,2002
"38","20",0.068153247253418,2002
"39","21",0,2002
"40","24",0,2002
"41","26",0,2002
"42","27",0,2002
"43","33",0,2002
"44","35",0.00511159283447266,2002
"45","37",0.000851850769042969,2002
"46","38",0.00168560925292969,2002
"47","39",0,2002
"48","40",0,2002
"49","51",0,2002
"50","52",0,2002
"51","53",0,2002
"52","59",0.103525438781738,2002
"53","65",0,2002
"54","72",0,2002
"55","1",0.149275756408691,2003
"56","2",0.564324638298723,2003
"57","4",0.178788777996467,2003
"58","6",0.152298702270508,2003
"59","8",0.0406678218383789,2003
"60","9",0.00169494079589844,2003
"61","12",0,2003
"62","13",0,2003
"63","14",0,2003
"64","16",0.305494765991211,2003
"65","20",0.0008474716796875,2003
"66","21",0,2003
"67","24",0,2003
"68","26",0,2003
"69","27",0.00509851452636719,2003
"70","33",0,2003
"71","35",0.000849265930175781,2003
"72","37",0.00931716998291016,2003
"73","38",0.117092986450195,2003
"74","39",0,2003
"75","40",0.00594223229980469,2003
"76","51",0,2003
"77","52",0,2003
"78","53",0.0304706872558594,2003
"79","59",0.451244842285156,2003
"80","65",0,2003
"81","72",0,2003
"82","1",0.33096472489277,2004
"83","2",0.438104793076219,2004
"84","4",0.177106779644656,2004
"85","6",0.00339430426025391,2004
"86","8",0.0177731258544922,2004
"87","9",0.0076535859375,2004
"88","12",0,2004
"89","13",0,2004
"90","14",0,2004
"91","16",0.00339484387207031,2004
"92","20",0.0008503916015625,2004
"93","21",0,2004
"94","24",0,2004
"95","26",0,2004
"96","27",0.0101566268920898,2004
"97","33",0,2004
"98","35",0,2004
"99","37",0,2004
"100","38",0.0313682305908203,2004
"101","39",0,2004
"102","40",0,2004
"103","51",0,2004
"104","52",0,2004
"105","53",0,2004
"106","59",0.330985096435547,2004
"107","65",0,2004
"108","72",0,2004
"109","1",47.4600045861676,2005
"110","2",13.9095926252476,2005
"111","4",4.74569709820557,2005
"112","6",3.53384751329919,2005
"113","8",0.106752446289062,2005
"114","9",0.0101617841796875,2005
"115","12",0,2005
"116","13",0.0101538133544922,2005
"117","14",0,2005
"118","16",0.710650231811523,2005
"119","20",0.00675393481445313,2005
"120","21",0,2005
"121","24",0,2005
"122","26",0,2005
"123","27",0.261369523994715,2005
"124","33",0,2005
"125","35",0.00253137884521484,2005
"126","37",0.0135546640014648,2005
"127","38",0.144177494873047,2005
"128","39",0,2005
"129","40",0.00339470788574219,2005
"130","51",0,2005
"131","52",0.00507678918457031,2005
"132","53",0.165537492160453,2005
"133","59",1.59675926448999,2005
"134","65",0,2005
"135","72",0,2005
"136","1",0.0398013461914063,2006
"137","2",0.0254060156860352,2006
"138","4",0.000847080261230469,2006
"139","6",0.00338802355957031,2006
"140","8",0.00338267163085938,2006
"141","9",0.0194857867431641,2006
"142","12",0,2006
"143","13",0,2006
"144","14",0,2006
"145","16",0.00084780615234375,2006
"146","20",0.0484153395996094,2006
"147","21",0,2006
"148","24",0,2006
"149","26",0,2006
"150","27",0.00846706823730469,2006
"151","33",0,2006
"152","35",0.00169928759765625,2006
"153","37",0,2006
"154","38",0.0195183635253906,2006
"155","39",0.00676295843505859,2006
"156","40",0,2006
"157","51",0,2006
"158","52",0,2006
"159","53",0.00169413922119141,2006
"160","59",0.0889021689453125,2006
"161","65",0.000848438720703125,2006
"162","72",0,2006
"163","1",0.65542407611084,2007
"164","2",0.926564503967285,2007
"165","4",0.132948852661133,2007
"166","6",0.0610243767700195,2007
"167","8",0.0449400164184571,2007
"168","9",0.0691460825195312,2007
"169","12",0,2007
"170","13",0,2007
"171","14",0,2007
"172","16",0.0879038137580423,2007
"173","20",0.0261312112426758,2007
"174","21",0.00169853442382812,2007
"175","24",0,2007
"176","26",0,2007
"177","27",0,2007
"178","33",0,2007
"179","35",0.00339777105712891,2007
"180","37",0.00337188262939453,2007
"181","38",0.124727045959473,2007
"182","39",0.00674613842773438,2007
"183","40",0.00169804791259766,2007
