"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName"
"1",1,2000,1660.076051,"Forest","Bosque conifero denso","Dense conifer forest"
"2",2,2000,638.6725546,"Forest","Bosque conifero abierto","Open conifer forest"
"3",4,2000,951.7577458,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"4",6,2000,2566.573204,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"5",8,2000,1526.990829,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"6",9,2000,2173.116735,"Forest","Bosque seco","Dry forest"
"7",12,2000,10.29002945,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"8",13,2000,112.5455193,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"9",14,2000,34.62273101,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"10",16,2000,1738.403775,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"11",20,2000,984.9902009,"Shrubland","Matorral seco","Dry matorral"
"12",21,2000,9.450949901,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"13",24,2000,3.186702839,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"14",26,2000,4.606512648,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"15",27,2000,27.81166025,"Grassland","Sabana de pajon","Sabana de pajon"
"16",33,2000,5.642131393,"Wetland","Eneal","Cattail marsh"
"17",35,2000,102.0745499,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"18",37,2000,756.7591098,"Cultivated","Cultivos intensivos","Cultivated land"
"19",38,2000,496.1434722,"Cultivated","Caña","Sugar cane"
"20",39,2000,286.3125962,"Cultivated","Arroz","Rice"
"21",40,2000,626.1544704,"Cultivated","Pasto","Pasture"
"22",51,2000,33.87367368,"Cultivated","Palma Africana","African palm"
"23",52,2000,232.5602946,"Cultivated","Palma de Coco","Coco Palm"
"24",53,2000,2382.538849,"Cultivated","Café y Cacao","Coffee and Cacao"
"25",59,2000,4091.523104,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"26",65,2000,17.54724807,"Unvegetated","Lagunos o lagos","Lake"
"27",72,2000,12.93108675,"Unvegetated","Areas pobladas","Populated areas"
"28",1,2001,1654.12020370563,"Forest","Bosque conifero denso","Dense conifer forest"
"29",2,2001,636.33547589718,"Forest","Bosque conifero abierto","Open conifer forest"
"30",4,2001,949.791135243462,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"31",6,2001,2558.48916177351,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"32",8,2001,1519.7228058236,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"33",9,2001,2163.02942755318,"Forest","Bosque seco","Dry forest"
"34",12,2001,10.2063292641144,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"35",13,2001,112.517090661664,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"36",14,2001,34.5867134425256,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"37",16,2001,1730.9644298946,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"38",20,2001,981.601529536439,"Shrubland","Matorral seco","Dry matorral"
"39",21,2001,9.4482344515072,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"40",24,2001,3.186702839,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"41",26,2001,4.60331402142224,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"42",27,2001,27.5314029155423,"Grassland","Sabana de pajon","Sabana de pajon"
"43",33,2001,5.63722136469006,"Wetland","Eneal","Cattail marsh"
"44",35,2001,101.727170474925,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"45",37,2001,752.601526304416,"Cultivated","Cultivos intensivos","Cultivated land"
"46",38,2001,492.257143056546,"Cultivated","Caña","Sugar cane"
"47",39,2001,282.723088574398,"Cultivated","Arroz","Rice"
"48",40,2001,622.153329769812,"Cultivated","Pasto","Pasture"
"49",51,2001,32.6318890847022,"Cultivated","Palma Africana","African palm"
"50",52,2001,231.933096178193,"Cultivated","Palma de Coco","Coco Palm"
"51",53,2001,2375.15527185368,"Cultivated","Café y Cacao","Coffee and Cacao"
